name,ages,location,id,desc,detail_url,total_open,age_description,time_range_landing_page,date_range_start,date_range_end,date_range,time_range,number,days_of_week
Aventure Nerf®,At least 6 but less than 13,South Fallingbrook Cmty Centre,75909,"Découvre le monde de Nerf et ses jeux de tir avec lanceurs, ses sports et ses activités de camp habituelles. Tu n’as qu’à apporter ton lanceur; nous fournirons les lunettes protectrices obligatoires. Des jeux actifs et une excursion sont au programme.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/aventure-nerf/75909,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,8:00 AM - 5:00 PM,81316,"Mon,Tue,Wed,Thu,Fri"
Badminton,At least 6 but less than 13,Eva James Memorial Cmty Centre,74327,"Grip, smash, serve, net play, drop shots, rules and game play for singles and doubles.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton/74327,32,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,8:00 AM - 5:00 PM,79734,"Mon,Tue,Wed,Thu,Fri"
Badminton,At least 6 but less than 13,Eva James Memorial Cmty Centre,74310,"Grip, smash, serve, net play, drop shots, rules and game play for singles and doubles.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton/74310,32,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,8:00 AM - 5:00 PM,79717,"Mon,Tue,Wed,Thu,Fri"
Badminton Adventure,At least 6 but less than 13,Eva James Memorial Cmty Centre,74333,"Learn all there is to know about badminton including: grip, smash, serve, net play, drop shots, rules, and gameplay for singles and doubles. Camp activities each day with an out trip during the week.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton-adventure/74333,32,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,8:00 AM - 5:00 PM,79740,"Mon,Tue,Wed,Thu,Fri"
Badminton Adventure,At least 6 but less than 13,Routhier Cmty Centre,84849,"Learn all there is to know about badminton including: grip, smash, serve, net play, drop shots, rules, and gameplay for singles and doubles. Camp activities each day with an out trip during the week.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/badminton-adventure/84849,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,8:00 AM - 5:00 PM,90256,"Mon,Tue,Wed,Thu,Fri"
Ball Hockey,At least 6 but less than 9,Arch Street Public School,83348,"<div><div>Practice the fundamentals including stickhandling, passing, shooting, and goaltending. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/ball-hockey/83348,24,"Age at least 6 yrs but less than 9 yrs,",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,8:00 AM - 5:00 PM,88755,"Mon,Tue,Wed,Thu,Fri"
Ball Hockey Adventure,At least 6 but less than 13,Eva James Memorial Cmty Centre,74349,"Practice the fundamentals including stickhandling, passing, shooting, and goaltending. Camp activities each day with an out-trip during the week.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/ball-hockey-adventure/74349,32,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,8:00 AM - 5:00 PM,79756,"Mon,Tue,Wed,Thu,Fri"
Basketball,At least 6 but less than 13,St-Laurent Cplx,83612,"Practice the fundamentals including ball handling, shooting, lay ups, offence and defence.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/basketball/83612,30,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,8:00 AM - 5:00 PM,89019,"Mon,Tue,Wed,Thu,Fri"
Basketball,At least 6 but less than 13,St-Laurent Cplx,83614,"Practice the fundamentals including ball handling, shooting, lay ups, offence and defence.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/basketball/83614,30,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,8:00 AM - 5:00 PM,89021,"Mon,Tue,Wed,Thu,Fri"
Basketball Adventure,At least 6 but less than 13,Routhier Cmty Centre,84854,"Practice the fundamentals including ball handling, shooting, lay ups, offence and defence. Camp activities each day with an out-trip during the week.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/basketball-adventure/84854,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,8:00 AM - 5:00 PM,90261,"Mon,Tue,Wed,Thu,Fri"
Board and Tabletop Games,At least 6 but less than 13,Beacon Hill North Cmty Hall,84918,"<div>Invent, design, and build your own board or tabletop game. 'Game-storm' your idea, draw-it-out, create the game mechanics, and test the rules. Build a prototype for a board, card, or narrative game, and play. Not computer gaming.</div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/board-and-tabletop-games/84918,20,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,8:00 AM - 5:00 PM,90325,"Mon,Tue,Wed,Thu,Fri"
Board and Tabletop Games,At least 6 but less than 13,Beacon Hill North Cmty Hall,69337,"<div>Invent, design, and build your own board or tabletop game. 'Game-storm' your idea, draw-it-out, create the game mechanics, and test the rules. Build a prototype for a board, card, or narrative game, and play. Not computer gaming.</div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/board-and-tabletop-games/69337,20,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,8:00 AM - 5:00 PM,74744,"Tue,Wed,Thu,Fri"
Camp artistique,At least 6 but less than 13,South Fallingbrook Cmty Centre,75905,"Réaliser une variété de projets artistiques pour rapporter à la maison. Explorer une variété de techniques et d'expressions artistiques à travers la danse, la peinture, l'esquisse et le dessin.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-artistique/75905,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,8:00 AM - 5:00 PM,81312,"Tue,Wed,Thu,Fri"
Camp aventure de science,At least 6 but less than 13,South Fallingbrook Cmty Centre,75907,"La science n'est pas seulement pour les adultes! Avec l'aide d'expérience, bricolage et de jeux, découvrez votre côté scientifique.  Les activités de camp peuvent inclure un invité spécial ou une sortie.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-aventure-de-science/75907,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,8:00 AM - 5:00 PM,81314,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure,At least 6 but less than 13,Routhier Cmty Centre,84807,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, des activités spéciales et, bien entendu, une sortie amusante! (La sortie pourrait comprendre une séance de baignade).",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure/84807,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,8:00 AM - 5:00 PM,90214,"Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure,At least 6 but less than 13,Routhier Cmty Centre,84840,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, des activités spéciales et, bien entendu, une sortie amusante! (La sortie pourrait comprendre une séance de baignade).",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure/84840,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,8:00 AM - 5:00 PM,90247,"Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure,At least 6 but less than 13,Routhier Cmty Centre,84841,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, des activités spéciales et, bien entendu, une sortie amusante! (La sortie pourrait comprendre une séance de baignade).",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure/84841,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,8:00 AM - 5:00 PM,90248,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure,At least 6 but less than 13,Routhier Cmty Centre,84842,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, des activités spéciales et, bien entendu, une sortie amusante! (La sortie pourrait comprendre une séance de baignade).",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure/84842,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,8:00 AM - 5:00 PM,90249,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure,At least 6 but less than 13,Routhier Cmty Centre,84832,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, des activités spéciales et, bien entendu, une sortie amusante! (La sortie pourrait comprendre une séance de baignade).",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure/84832,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,8:00 AM - 5:00 PM,90239,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure,At least 6 but less than 13,Routhier Cmty Centre,84834,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, des activités spéciales et, bien entendu, une sortie amusante! (La sortie pourrait comprendre une séance de baignade).",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure/84834,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,8:00 AM - 5:00 PM,90241,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure,At least 6 but less than 13,Routhier Cmty Centre,84835,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, des activités spéciales et, bien entendu, une sortie amusante! (La sortie pourrait comprendre une séance de baignade).",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure/84835,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,8:00 AM - 5:00 PM,90242,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure,At least 6 but less than 13,Routhier Cmty Centre,84837,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, des activités spéciales et, bien entendu, une sortie amusante! (La sortie pourrait comprendre une séance de baignade).",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure/84837,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,8:00 AM - 5:00 PM,90244,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure et baignade,At least 6 but less than 13,Sandy Hill Cmty Centre,81585,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, de la cuisine, de la baignade, des activités spéciales et une sortie amusante!",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure-et-baignade/81585,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,8:00 AM - 5:00 PM,86992,"Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure et baignade,At least 6 but less than 13,Sandy Hill Cmty Centre,81588,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, de la cuisine, de la baignade, des activités spéciales et une sortie amusante!",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure-et-baignade/81588,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,8:00 AM - 5:00 PM,86995,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure et baignade,At least 6 but less than 13,Sandy Hill Cmty Centre,81591,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, de la cuisine, de la baignade, des activités spéciales et une sortie amusante!",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure-et-baignade/81591,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,8:00 AM - 5:00 PM,86998,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure et baignade,At least 6 but less than 13,Sandy Hill Cmty Centre,81592,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, de la cuisine, de la baignade, des activités spéciales et une sortie amusante!",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure-et-baignade/81592,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,8:00 AM - 5:00 PM,86999,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure et baignade,At least 6 but less than 13,Sandy Hill Cmty Centre,81611,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, de la cuisine, de la baignade, des activités spéciales et une sortie amusante!",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure-et-baignade/81611,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,8:00 AM - 5:00 PM,87018,"Mon,Tue,Wed,Thu,Fri"
Camp d'Ottawa aventure et baignade,At least 6 but less than 13,Sandy Hill Cmty Centre,81613,"Apportez toute votre énergie au camp pour profiter des journées d’aventure et de plaisirs avec vos nouveaux amis. Il y aura des sports, des jeux, du bricolage, de la cuisine, de la baignade, des activités spéciales et une sortie amusante!",https://ca.apm.activecommunities.com/ottawa/Activity_Search/camp-d-ottawa-aventure-et-baignade/81613,24,"Age at least 6 yrs but less than 13 yrs,",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,8:00 AM - 5:00 PM,87020,"Tue,Wed,Thu,Fri"
